,rank,query,value,cat,timeframe
0,0,weather,100,top,2020-01-01 2020-02-01
1,1,google,94,top,2020-01-01 2020-02-01
2,2,facebook,71,top,2020-01-01 2020-02-01
3,3,news,60,top,2020-01-01 2020-02-01
4,4,youtube,56,top,2020-01-01 2020-02-01
5,5,amazon,53,top,2020-01-01 2020-02-01
6,6,nfl,40,top,2020-01-01 2020-02-01
7,7,kobe bryant,37,top,2020-01-01 2020-02-01
8,8,craigslist,34,top,2020-01-01 2020-02-01
9,9,walmart,32,top,2020-01-01 2020-02-01
10,10,yahoo,24,top,2020-01-01 2020-02-01
11,11,instagram,22,top,2020-01-01 2020-02-01
12,12,calculator,21,top,2020-01-01 2020-02-01
13,13,translate,20,top,2020-01-01 2020-02-01
14,14,gmail,20,top,2020-01-01 2020-02-01
15,15,netflix,18,top,2020-01-01 2020-02-01
16,16,flights,16,top,2020-01-01 2020-02-01
17,17,coronavirus,16,top,2020-01-01 2020-02-01
18,18,twitter,15,top,2020-01-01 2020-02-01
19,19,target,13,top,2020-01-01 2020-02-01
20,20,google classroom,13,top,2020-01-01 2020-02-01
21,21,iran,13,top,2020-01-01 2020-02-01
22,22,maps,12,top,2020-01-01 2020-02-01
23,23,ebay,12,top,2020-01-01 2020-02-01
24,24,google translate,11,top,2020-01-01 2020-02-01
25,0,coronavirus,16200,rising,2020-01-01 2020-02-01
26,1,kobe bryant,12400,rising,2020-01-01 2020-02-01
27,2,martin luther king jr. day,2700,rising,2020-01-01 2020-02-01
28,3,kobe bryant dead,2400,rising,2020-01-01 2020-02-01
29,4,lunar new year,2150,rising,2020-01-01 2020-02-01
30,5,iran,1650,rising,2020-01-01 2020-02-01
31,6,nfl playoffs,450,rising,2020-01-01 2020-02-01
32,7,vrbo,60,rising,2020-01-01 2020-02-01
0,0,google,100,top,2020-02-01 2020-03-01
1,1,weather,97,top,2020-02-01 2020-03-01
2,2,facebook,70,top,2020-02-01 2020-03-01
3,3,news,70,top,2020-02-01 2020-03-01
4,4,youtube,52,top,2020-02-01 2020-03-01
5,5,amazon,51,top,2020-02-01 2020-03-01
6,6,coronavirus,36,top,2020-02-01 2020-03-01
7,7,craigslist,31,top,2020-02-01 2020-03-01
8,8,walmart,31,top,2020-02-01 2020-03-01
9,9,yahoo,23,top,2020-02-01 2020-03-01
