query,score,value,eps,min_samples,bias
news,map,0.47715247715247716,0.1,2,False
news,ndcg,0.48462346767751885,0.1,2,False
news,map,0.3280768208399787,0.1,2,us
news,ndcg,0.6390319798234222,0.1,2,us
news,map,0.43085618085618094,0.1,2,ru
news,ndcg,0.5146146835597393,0.1,2,ru
news,map,0.2934315140197493,0.1,5,False
news,ndcg,0.680329428196723,0.1,5,False
news,map,0.2610073162704742,0.1,5,us
news,ndcg,0.680329428196723,0.1,5,us
news,map,0.2968355231513126,0.1,5,ru
news,ndcg,0.6422231658418046,0.1,5,ru
news,map,0.2727272727272727,0.1,8,False
news,ndcg,0.667022849638378,0.1,8,False
news,map,0.2727272727272727,0.1,8,us
news,ndcg,0.667022849638378,0.1,8,us
news,map,0.2727272727272727,0.1,8,ru
news,ndcg,0.667022849638378,0.1,8,ru
news,map,0.48068783068783066,0.5,2,False
news,ndcg,0.48058357788724015,0.5,2,False
news,map,0.2863199665831245,0.5,2,us
news,ndcg,0.692606533101105,0.5,2,us
news,map,0.42192760942760943,0.5,2,ru
news,ndcg,0.5102131584329715,0.5,2,ru
news,map,0.2979270729270729,0.5,5,False
news,ndcg,0.6788191422132943,0.5,5,False
news,map,0.26296296296296295,0.5,5,us
news,ndcg,0.6852437646390577,0.5,5,us
news,map,0.3312409812409812,0.5,5,ru
news,ndcg,0.6349424268322601,0.5,5,ru
news,map,0.29074074074074074,0.5,8,False
news,ndcg,0.6733816675750219,0.5,8,False
news,map,0.29074074074074074,0.5,8,us
news,ndcg,0.6733816675750219,0.5,8,us
news,map,0.29074074074074074,0.5,8,ru
news,ndcg,0.6733816675750219,0.5,8,ru
news,map,0.48068783068783066,0.9,2,False
news,ndcg,0.48058357788724015,0.9,2,False
news,map,0.2863199665831245,0.9,2,us
news,ndcg,0.692606533101105,0.9,2,us
news,map,0.42192760942760943,0.9,2,ru
news,ndcg,0.5102131584329715,0.9,2,ru
news,map,0.2979270729270729,0.9,5,False
news,ndcg,0.6788191422132943,0.9,5,False
news,map,0.26296296296296295,0.9,5,us
news,ndcg,0.6852437646390577,0.9,5,us
news,map,0.3312409812409812,0.9,5,ru
news,ndcg,0.6349424268322601,0.9,5,ru
news,map,0.29074074074074074,0.9,8,False
news,ndcg,0.6733816675750219,0.9,8,False
news,map,0.29074074074074074,0.9,8,us
news,ndcg,0.6733816675750219,0.9,8,us
news,map,0.29074074074074074,0.9,8,ru
news,ndcg,0.6733816675750219,0.9,8,ru
Happy birthday,map,0.5024504816171483,0.1,2,False
Happy birthday,ndcg,0.8840630474900787,0.1,2,False
Happy birthday,map,0.5024504816171483,0.1,2,us
Happy birthday,ndcg,0.8840630474900787,0.1,2,us
Happy birthday,map,0.5625,0.1,2,ru
Happy birthday,ndcg,0.7983034243884808,0.1,2,ru
Happy birthday,map,0.5572871572871573,0.1,5,False
Happy birthday,ndcg,0.8077694728990161,0.1,5,False
Happy birthday,map,0.5572871572871573,0.1,5,us
Happy birthday,ndcg,0.8077694728990161,0.1,5,us
Happy birthday,map,0.5625,0.1,5,ru
Happy birthday,ndcg,0.7983034243884808,0.1,5,ru
