query,value,eps,min_samples,bias
news,0.002358498170269704,0.1,2,False
news,1.0322784419606977e-06,0.1,2,us
news,0.002358498170269704,0.1,2,ru
news,1.258876148732558e-08,0.1,5,False
news,4.1823127864869035e-11,0.1,5,us
news,1.258876148732558e-08,0.1,5,ru
news,9.50525633292478e-13,0.1,8,False
news,9.50525633292478e-13,0.1,8,us
news,9.50525633292478e-13,0.1,8,ru
news,0.002358498170269704,0.5,2,False
news,6.709809872744534e-06,0.5,2,us
news,0.007289903434428559,0.5,2,ru
news,8.991972490946842e-10,0.5,5,False
news,8.991972490946842e-10,0.5,5,us
news,1.258876148732558e-08,0.5,5,ru
news,9.50525633292478e-13,0.5,8,False
news,9.50525633292478e-13,0.5,8,us
news,9.50525633292478e-13,0.5,8,ru
news,0.002358498170269704,0.9,2,False
news,6.709809872744534e-06,0.9,2,us
news,0.007289903434428559,0.9,2,ru
news,8.991972490946842e-10,0.9,5,False
news,8.991972490946842e-10,0.9,5,us
news,1.258876148732558e-08,0.9,5,ru
news,9.50525633292478e-13,0.9,8,False
news,9.50525633292478e-13,0.9,8,us
news,9.50525633292478e-13,0.9,8,ru
Happy birthday,0.0030152106609234084,0.1,2,False
Happy birthday,0.0030152106609234084,0.1,2,us
Happy birthday,3.3273419550419868e-09,0.1,2,ru
Happy birthday,3.3273419550419868e-09,0.1,5,False
Happy birthday,3.3273419550419868e-09,0.1,5,us
Happy birthday,3.3273419550419868e-09,0.1,5,ru
Happy birthday,3.3273419550419868e-09,0.1,8,False
Happy birthday,3.3273419550419868e-09,0.1,8,us
Happy birthday,3.3273419550419868e-09,0.1,8,ru
Happy birthday,0.0030152106609234084,0.5,2,False
Happy birthday,0.0030152106609234084,0.5,2,us
Happy birthday,3.3273419550419868e-09,0.5,2,ru
Happy birthday,3.3273419550419868e-09,0.5,5,False
Happy birthday,3.3273419550419868e-09,0.5,5,us
Happy birthday,3.3273419550419868e-09,0.5,5,ru
Happy birthday,3.3273419550419868e-09,0.5,8,False
Happy birthday,3.3273419550419868e-09,0.5,8,us
Happy birthday,3.3273419550419868e-09,0.5,8,ru
Happy birthday,0.011199353883429802,0.9,2,False
Happy birthday,0.011199353883429802,0.9,2,us
Happy birthday,3.3273419550419868e-09,0.9,2,ru
Happy birthday,3.3273419550419868e-09,0.9,5,False
Happy birthday,3.3273419550419868e-09,0.9,5,us
Happy birthday,3.3273419550419868e-09,0.9,5,ru
Happy birthday,3.3273419550419868e-09,0.9,8,False
Happy birthday,3.3273419550419868e-09,0.9,8,us
Happy birthday,3.3273419550419868e-09,0.9,8,ru
Cheburashka,8.494202585197998e-06,0.1,2,False
Cheburashka,0.0005909905798671092,0.1,2,us
Cheburashka,1.582145720489723e-14,0.1,2,ru
Cheburashka,1.9381285075999106e-11,0.1,5,False
Cheburashka,1.9381285075999106e-11,0.1,5,us
Cheburashka,1.582145720489723e-14,0.1,5,ru
Cheburashka,1.9381285075999106e-11,0.1,8,False
Cheburashka,1.9381285075999106e-11,0.1,8,us
Cheburashka,1.582145720489723e-14,0.1,8,ru
Cheburashka,3.963961206425733e-05,0.5,2,False
Cheburashka,0.0005909905798671092,0.5,2,us
Cheburashka,1.582145720489723e-14,0.5,2,ru
Cheburashka,1.9381285075999106e-11,0.5,5,False
Cheburashka,1.9381285075999106e-11,0.5,5,us
Cheburashka,1.582145720489723e-14,0.5,5,ru
Cheburashka,1.9381285075999106e-11,0.5,8,False
Cheburashka,1.9381285075999106e-11,0.5,8,us
Cheburashka,1.582145720489723e-14,0.5,8,ru
Cheburashka,0.00016252240946345505,0.9,2,False
Cheburashka,0.0005909905798671092,0.9,2,us
Cheburashka,7.910728602448615e-13,0.9,2,ru
Cheburashka,1.9381285075999106e-11,0.9,5,False
Cheburashka,1.9381285075999106e-11,0.9,5,us
Cheburashka,1.582145720489723e-14,0.9,5,ru
Cheburashka,1.9381285075999106e-11,0.9,8,False
Cheburashka,1.9381285075999106e-11,0.9,8,us
Cheburashka,1.582145720489723e-14,0.9,8,ru
classmates,0.00024360343414034504,0.1,2,False
classmates,8.210429192461913e-08,0.1,2,us
classmates,0.08850177745450963,0.1,2,ru
classmates,1.0481398969100314e-08,0.1,5,False
classmates,4.03292046399341e-15,0.1,5,us
classmates,0.00024360343414034504,0.1,5,ru
classmates,2.0971186412765735e-13,0.1,8,False
classmates,4.03292046399341e-15,0.1,8,us
classmates,5.3476525352552624e-12,0.1,8,ru
classmates,0.00024360343414034504,0.5,2,False
classmates,8.210429192461913e-08,0.5,2,us
classmates,0.08850177745450963,0.5,2,ru
classmates,5.395424897903543e-07,0.5,5,False
classmates,4.03292046399341e-15,0.5,5,us
classmates,0.0008323117333128456,0.5,5,ru
classmates,2.0971186412765735e-13,0.5,8,False
classmates,4.03292046399341e-15,0.5,8,us
classmates,5.3476525352552624e-12,0.5,8,ru
classmates,0.007134100565905311,0.9,2,False
classmates,5.395424897903543e-07,0.9,2,us
classmates,0.30712304007383906,0.9,2,ru
classmates,3.034926505070743e-06,0.9,5,False
