query,value
погода,100
яндекс,45
гдз,32
вк,31
переводчик,31
ютуб,23
авито,21
новости,20
погода завтра,13
майл,11
озон,11
одноклассники,9
госуслуги,8
дневник ру,8
курс доллара,7
днс,7
сетевой город,7
валберис,6
вайлдберриз,6
youtube,6
сбербанк онлайн,6
калькулятор,5
вконтакте,5
программа передач,5
чебурашка,5
инна чурикова,2050
чебурашка,1600
аватар 2,60
программа передач,40
производственный календарь 2023,40
погода,100
яндекс,59
переводчик,44
гдз,43
вк,40
авито,32
ютуб,32
новости,29
майл,16
озон,16
погода завтра,14
одноклассники,13
дневник ру,12
сетевой город,11
госуслуги,11
курс доллара,10
валберис,10
вайлдберриз,9
днс,8
youtube,8
калькулятор,8
сбербанк онлайн,7
электронный дневник,7
телеграм,7
вконтакте,7
atomic heart,1550
chatgpt,130
гипсофилы,40
погода,100
яндекс,51
переводчик,35
вк,31
гдз,27
ютуб,26
авито,25
новости,21
озон,14
майл,12
погода завтра,12
одноклассники,10
сбербанк,10
дневник ру,9
гугл,8
курс доллара,8
госуслуги,8
с днем рождения,8
сетевой город,8
валберис,7
вайлдберриз,7
калькулятор,7
youtube,6
днс,6
сбербанк онлайн,6
пасха 2023,140
погода,100
яндекс,38
переводчик,27
гдз,24
вк,23
авито,19
ютуб,18
новости,14
погода завтра,12
озон,10
майл,9
дневник ру,7
курс доллара,7
одноклассники,7
госуслуги,6
сетевой город,6
гугл,6
валберис,5
вайлдберриз,5
youtube,5
сбербанк онлайн,4
телеграм,4
днс,4
электронный дневник,4
вконтакте,4
майские праздники 2023,350
производственный календарь 2023,60
погода,100
яндекс,35
переводчик,22
вк,21
ютуб,16
авито,16
новости,15
гдз,13
погода завтра,12
перевод,11
озон,9
майл,8
сбербанк,6
дневник ру,6
одноклассники,6
госуслуги,5
сетевой город,5
курс доллара,5
валберис,5
вайлдберриз,4
телеграм,4
youtube,4
калькулятор,4
сбербанк онлайн,4
днс,4
мир дружба жвачка,850
погода,100
яндекс,33
новости,19
переводчик,17
вк,16
ютуб,15
авито,15
погода завтра,13
озон,8
майл,7
сбербанк,6
курс доллара,6
одноклассники,5
валберис,5
с днем рождения,5
госуслуги,4
телеграм,4
вайлдберриз,4
ржд,4
днс,4
калькулятор,3
youtube,3
сбербанк онлайн,3
вконтакте,3
майл ру,2
чек егэ,1500
результаты егэ,1300
погода,100
яндекс,31
переводчик,15
вк,14
ютуб,13
погода завтра,13
новости,13
авито,12
перевод,9
почта,8
озон,7
курс доллара,7
майл,6
сбербанк,6
одноклассники,5
яндекс погода,5
валберис,5
ржд,4
госуслуги,4
днс,4
вайлдберриз,4
youtube,3
сбербанк онлайн,3
погода на 10 дней,3
вконтакте,2
погода,100
яндекс,32
переводчик,17
вк,16
авито,16
ютуб,15
новости,15
погода завтра,15
курс доллара,10
озон,8
майл,7
сбербанк,6
одноклассники,6
валберис,5
дзен,5
вайлдберриз,5
госуслуги,4
яндекс погода,4
днс,4
телеграм,4
youtube,4
ватсап,3
сбербанк онлайн,3
ржд,3
калькулятор,3
пригожин,650
яндекс дзен,150
дзен,80
курс доллара к рублю,50
погода,100
яндекс,35
переводчик,26
вк,21
авито,18
ютуб,17
новости,15
погода завтра,15
почта,12
озон,10
майл,9
курс доллара,7
одноклассники,7
дзен,6
валберис,6
госуслуги,6
дневник ру,6
с днем рождения,5
вайлдберриз,5
днс,5
калькулятор,5
телеграм,5
гдз по математике,5
ватсап,4
youtube,4
гдз по математике,4600
дневник ру,2350
электронный дневник,2350
сетевой город,1950
кхл,650
учи ру,350
мегамаркет,120
переводчик по фото,90
погода,100
яндекс,37
гдз,31
переводчик,26
вк,22
ютуб,19
авито,17
новости,17
погода завтра,15
озон,12
дневник ру,10
курс доллара,9
майл,9
валберис,7
одноклассники,7
игры,7
дзен,7
сетевой город,6
госуслуги,6
электронный дневник,5
вайлдберриз,5
телеграм,5
днс,5
тинькофф,5
youtube,5
палестина,3450
сетевой город,90
дневник ру,80
учи ру,80
электронный дневник,80
электронный журнал,60
погода,100
яндекс,40
переводчик,27
вк,23
ютуб,21
авито,20
погода завтра,17
новости,17
перевод,15
озон,13
гдз,12
майл,9
валберис,8
сбербанк,8
курс доллара,8
одноклассники,8
дзен,7
вайлдберриз,6
youtube,6
телеграм,6
госуслуги,5
калькулятор,5
днс,5
тинькофф,5
сбербанк онлайн,4
программа передач,40
