query_ru,title_ru,snippet_ru,doc_ru,query_en,title_en,snippet_en,doc_en
погода,Прогноз погоды на 10 дней,Погода на 10 дней ; ср. сегодня. +20° ; чт. 09. +19° ; пт. 10. +19° ; сб. 11. +20° ; вс. 12. +22° ...,Ой!Подтвердите что запросы отправляли вы а не роботНам очень жаль но запросы с вашего устройства похожи на автоматические.   Почему это могло произойти?У вас отключено исполнение JavaScript. По нажатию вы будете направлены на дополнительную проверку. Как включить JavaScript?Я не роботНажмите чтобы продолжитьSmartCaptcha by Yandex CloudSmartCaptcha нужна проверка пользователяЕсли у вас возникли проблемы пожалуйста воспользуйтесь формой обратной связи,weather,Weather forecast for 10 days,Weather for 10 days; Wed Today. +20° ; Thurs. 09. +19°; Fri. 10. +19°; Sat. 11. +20° ; Sun. 12. +22°...,"Oh! Confirm that you sent the requests and not a robot. We are very sorry, but the requests from your device look like automatic ones. Why might this happen?You have JavaScript disabled. Upon clicking, you will be directed to additional verification. How to enable JavaScript?I'm not a robotClick to continueSmartCaptcha by Yandex CloudSmartCaptcha requires user verificationIf you have any problems please use the feedback form"
погода,Город Маунтин-Вью,Погода на 10 дней ; чт. сегодня. +19° ; пт. 10. +20° ; сб. 11. +20° ; вс. 12. +22° ; пн. 13. +19° ...,Ой!Подтвердите что запросы отправляли вы а не роботНам очень жаль но запросы с вашего устройства похожи на автоматические.   Почему это могло произойти?У вас отключено исполнение JavaScript. По нажатию вы будете направлены на дополнительную проверку. Как включить JavaScript?Я не роботНажмите чтобы продолжитьSmartCaptcha by Yandex CloudSmartCaptcha нужна проверка пользователяЕсли у вас возникли проблемы пожалуйста воспользуйтесь формой обратной связи,weather,City of Mountain View,Weather for 10 days; Thurs. Today. +19° ; Fri. 10. +20° ; Sat. 11. +20° ; Sun. 12. +22°; Mon. 13. +19°...,"Oh! Confirm that you sent the requests and not a robot. We are very sorry, but the requests from your device look like automatic ones. Why might this happen?You have JavaScript disabled. Upon clicking, you will be directed to additional verification. How to enable JavaScript?I'm not a robotClick to continueSmartCaptcha by Yandex CloudSmartCaptcha requires user verificationIf you have any problems please use the feedback form"
погода,"GISMETEO: Погода в России, прогноз погоды на сегодня ...","Текущая погода и точный прогноз по всем населенным пунктам России, а также по всему миру. Прогноз погоды на сегодня, завтра, 3 дня, выходные, неделю, ...",weather,"GISMETEO: Weather in Russia, weather forecast for today ...","Current weather and accurate forecast for all settlements in Russia, as well as around the world. Weather forecast for today, tomorrow, 3 days, weekend, week,...",,
погода,Погода в Набережных Челнах,nan,weather , Weather in Naberezhnye Chelny , Nan,,
погода,Погода в Краснодаре,"Погода в Краснодаре на сегодня, точный прогноз погоды на сегодня для населенного пункта Краснодар, Краснодар (городской округ), Краснодарский край, Россия.",weather,Weather in Krasnodar,"Weather in Krasnodar for today, accurate weather forecast for today for the locality of Krasnodar, Krasnodar (urban district), Krasnodar region, Russia.",,
погода,Погода в Ульяновске,"Вс 12 нояб 3:24Россия, Ульяновская область, Ульяновск (городской округ). в Ульяновске пасмурно, без осадков, туман, +1 °C. По ощущению +1 °C. Погода.",weather,Weather in Ulyanovsk,"Sun 12 Nov 3:24 Russia, Ulyanovsk region, Ulyanovsk (urban district). in Ulyanovsk cloudy, no precipitation, fog, +1 °C. Feels like +1 °C. Weather.",,
погода,Погода в Тамбове,"Сб 11 нояб 21:03Россия, Тамбовская область, Тамбов (городской округ). в Тамбове пасмурно, без осадков, дымка, +3 °C. По ощущению +1 °C, Ветер 3 м/c. Погода.",weather,Weather in Tambov,"Sat 11 Nov 21:03 Russia, Tambov region, Tambov (urban district). in Tambov cloudy, no precipitation, haze, +3 °C. Feels +1 °C, Wind 3 m/s. Weather.",,
погода,Погода в Санкт-Петербурге,"Погода в Санкт-Петербурге на сегодня, точный прогноз погоды на сегодня для населенного пункта Санкт-Петербург, Санкт-Петербург (город федерального значения) ...",weather,Weather in St. Petersburg,"Weather in St. Petersburg for today, accurate weather forecast for today for the locality of St. Petersburg, St. Petersburg (federal city) ...",,
погода,Погода в Ростове-на-Дону,nan,weather , Weather in Rostov-on-Don , Nan,,
погода,Погода в Самаре,"Вс 12 нояб 2:40Россия, Самарская область, Самара (городской округ). в Самаре безоблачно, +1 °C. По ощущению −2 °C, Ветер 2 м/c. Погода.",weather,Weather in Samara,"Sun 12 Nov 2:40 Russia, Samara region, Samara (urban district). in Samara cloudless, +1 °C. Feels like −2 °C, Wind 2 m/s. Weather.",,
погода,"Погода в Москве сегодня, прогноз ...","Погода в Москве на сегодня, точный прогноз погоды на сегодня для населенного пункта Москва, Москва (город федерального значения), Россия.",weather,"Weather in Moscow today, forecast ...","Weather in Moscow for today, accurate weather forecast for today for the locality of Moscow, Moscow (federal city), Russia.",,
погода,Погода в Новосибирске,"Погода в Новосибирске на сегодня, точный прогноз погоды на сегодня для населенного пункта Новосибирск, Новосибирск (городской округ), Новосибирская область, ...",weather,Weather in Novosibirsk,"Weather in Novosibirsk for today, accurate weather forecast for today for the settlement of Novosibirsk, Novosibirsk (urban district), Novosibirsk region, ...",,
погода,Погода в Томске,"Погода в Томске на сегодня, точный прогноз погоды на сегодня для населенного пункта Томск, Томск (городской округ), Томская область, Россия.",weather,Weather in Tomsk,"Weather in Tomsk for today, accurate weather forecast for today for the settlement of Tomsk, Tomsk (urban district), Tomsk region, Russia.",,
